chi,seed,partition_id,S,run_status,notes
2,50,part_A_16,1.3862943611,ok,
2,51,part_A_16,1.3464307161,ok,
2,52,part_A_16,1.3290438541,ok,
4,1050,part_A_16,2.7725887222,ok,
4,1051,part_A_16,2.7267009966,ok,
4,1052,part_A_16,2.7725887222,ok,
8,2050,part_A_16,3.6720193231,ok,
8,2051,part_A_16,4.1588830834,ok,
8,2052,part_A_16,4.1588830834,ok,
2,1000050,part_A_8,2.0794415417,ok,
2,1000051,part_A_8,2.0794415417,ok,
2,1000052,part_A_8,2.0169988051,ok,
4,1001050,part_A_8,4.0419679817,ok,
4,1001051,part_A_8,4.1588830834,ok,
4,1001052,part_A_8,4.1402803124,ok,
8,1002050,part_A_8,5.7463852003,ok,
8,1002051,part_A_8,6.2383246250,ok,
8,1002052,part_A_8,6.2383246250,ok,
2,2000050,part_A_4,2.7725887222,ok,
2,2000051,part_A_4,2.7575437845,ok,
2,2000052,part_A_4,2.7725887222,ok,
4,2001050,part_A_4,5.5451774445,ok,
4,2001051,part_A_4,5.1778307010,ok,
4,2001052,part_A_4,5.4225403917,ok,
8,2002050,part_A_4,8.1996866463,ok,
8,2002051,part_A_4,8.3177661667,ok,
8,2002052,part_A_4,8.3177661667,ok,
