chi,seed,partition_id,S,run_status,notes
2,52,part_A_16,1.3290438541,ok,
2,53,part_A_16,1.3862943611,ok,
2,54,part_A_16,1.3189737356,ok,
4,1052,part_A_16,2.7725887222,ok,
4,1053,part_A_16,2.7725887222,ok,
4,1054,part_A_16,2.7725887222,ok,
8,2052,part_A_16,4.1588830834,ok,
8,2053,part_A_16,4.1309520194,ok,
8,2054,part_A_16,4.1531833540,ok,
2,1000052,part_A_8,2.0169988051,ok,
2,1000053,part_A_8,2.0284408299,ok,
2,1000054,part_A_8,2.0794415417,ok,
4,1001052,part_A_8,4.1402803124,ok,
4,1001053,part_A_8,4.1588830834,ok,
4,1001054,part_A_8,4.1588830834,ok,
8,1002052,part_A_8,6.2383246250,ok,
8,1002053,part_A_8,5.9191958407,ok,
8,1002054,part_A_8,6.2208232571,ok,
2,2000052,part_A_4,2.7725887222,ok,
2,2000053,part_A_4,2.7725887222,ok,
2,2000054,part_A_4,2.7725887222,ok,
4,2001052,part_A_4,5.4225403917,ok,
4,2001053,part_A_4,5.2529259270,ok,
4,2001054,part_A_4,5.5451774445,ok,
8,2002052,part_A_4,8.3177661667,ok,
8,2002053,part_A_4,8.3177661667,ok,
8,2002054,part_A_4,8.2439423947,ok,
