chi,seed,partition_id,S,run_status,notes
2,56,part_A_16,1.3273809599,ok,
2,57,part_A_16,1.3862943611,ok,
2,58,part_A_16,1.3464337305,ok,
4,1056,part_A_16,2.7725887222,ok,
4,1057,part_A_16,2.7725887222,ok,
4,1058,part_A_16,2.7205292461,ok,
8,2056,part_A_16,3.9560467452,ok,
8,2057,part_A_16,4.1588830834,ok,
8,2058,part_A_16,4.1588830834,ok,
2,1000056,part_A_8,2.0003457813,ok,
2,1000057,part_A_8,1.9483075108,ok,
2,1000058,part_A_8,1.8940935080,ok,
4,1001056,part_A_8,4.1588830834,ok,
4,1001057,part_A_8,4.1454136461,ok,
4,1001058,part_A_8,4.1588830834,ok,
8,1002056,part_A_8,5.9758488622,ok,
8,1002057,part_A_8,6.0687186056,ok,
8,1002058,part_A_8,6.0377679146,ok,
2,2000056,part_A_4,2.6663496638,ok,
2,2000057,part_A_4,2.7725887222,ok,
2,2000058,part_A_4,2.5804060090,ok,
4,2001056,part_A_4,5.0166068314,ok,
4,2001057,part_A_4,5.1682686236,ok,
4,2001058,part_A_4,5.5451774445,ok,
8,2002056,part_A_4,8.3177661667,ok,
8,2002057,part_A_4,8.0778540459,ok,
8,2002058,part_A_4,7.9637517778,ok,
