chi,seed,partition_id,S,run_status,notes
2,42,part_A_16,1.3862943611,ok,
2,43,part_A_16,1.3862943611,ok,
2,44,part_A_16,1.3862943611,ok,
4,1042,part_A_16,2.7725887222,ok,
4,1043,part_A_16,2.6327680285,ok,
4,1044,part_A_16,2.7725887222,ok,
8,2042,part_A_16,4.1588830834,ok,
8,2043,part_A_16,3.9497565540,ok,
8,2044,part_A_16,3.9960598304,ok,
2,1000042,part_A_8,2.0380409455,ok,
2,1000043,part_A_8,2.0061053838,ok,
2,1000044,part_A_8,2.0794415417,ok,
4,1001042,part_A_8,4.1588830834,ok,
4,1001043,part_A_8,4.1588830834,ok,
4,1001044,part_A_8,4.1588830834,ok,
8,1002042,part_A_8,6.2383246250,ok,
8,1002043,part_A_8,6.2383246250,ok,
8,1002044,part_A_8,5.8773364135,ok,
2,2000042,part_A_4,2.7499108624,ok,
2,2000043,part_A_4,2.6473378599,ok,
2,2000044,part_A_4,2.7614121681,ok,
4,2001042,part_A_4,5.0063595760,ok,
4,2001043,part_A_4,5.5451774445,ok,
4,2001044,part_A_4,5.5451774445,ok,
8,2002042,part_A_4,8.1780770747,ok,
8,2002043,part_A_4,8.2274347860,ok,
8,2002044,part_A_4,8.3177661667,ok,
