chi,restart,seed,fidelity,entropy,energy
2,0,20123,0.7724406560156665,0.8654588607625465,-3.475337362213748
2,1,21123,0.7699372379548782,0.8707645151954087,-3.4722181230939086
2,2,22123,0.7756353754859807,0.8675452547423678,-3.4755997026525796
4,0,40123,0.9984673534364278,1.0511038252889329,-3.6459599510830993
4,1,41123,0.9974962728791854,1.0670357009080291,-3.642738062878781
4,2,42123,0.9981701599376989,1.055127438406227,-3.6448971812430098
8,0,80123,0.9999110655877569,1.0500706692889554,-3.6507303941227485
8,1,81123,0.999835298073618,1.0487850590667107,-3.6504801524097967
8,2,82123,0.9998288647855462,1.0513212583827072,-3.650458267688319
16,0,160123,0.9999999984366714,1.0511524194982067,-3.651093406832055
16,1,161123,0.9999999962497188,1.0511405100547924,-3.651093405769358
16,2,162123,0.9999999991346169,1.0511726153819656,-3.651093408071513
32,0,320123,0.9999999950107628,1.0512328138687739,-3.651093403851508
32,1,321123,0.9999999982473622,1.0511508990414946,-3.6510934077149284
32,2,322123,0.9999999974857068,1.0511466053976193,-3.6510934068314134
