chi,restart,seed,fidelity,entropy,energy
2,0,20042,0.77736188477414,0.8740506981352123,-3.4748193621504635
2,1,21042,0.7303770965980746,0.7359272216071765,-3.453881252892247
2,2,22042,0.6525449672007869,0.6825295665957972,-3.4300209188770636
4,0,40042,0.9968401813000937,1.057150688604111,-3.641514299819539
4,1,41042,0.9988017500770565,1.05456371524353,-3.646792509741174
4,2,42042,0.9977415900014153,1.05461022913757,-3.643598510761934
8,0,80042,0.9999285159696628,1.052002422579197,-3.6507882652770522
8,1,81042,0.9998064089108322,1.05074786474654,-3.6503128332411423
8,2,82042,0.9995297849674796,1.0499044361053282,-3.649406660922818
16,0,160042,0.9999999991855086,1.0511535837900927,-3.651093407857584
16,1,161042,0.9999999993404327,1.0511507010046592,-3.651093408035361
16,2,162042,0.9999999989410464,1.0511965448874874,-3.651093407767241
32,0,320042,0.9999999922223006,1.05117245421631,-3.6510933888804806
32,1,321042,0.999999999570899,1.051174409580468,-3.651093408337939
32,2,322042,0.9999999969494033,1.0511334867586872,-3.651093406570938
