chi,restart,seed,fidelity,entropy,energy
2,0,20456,0.6706769108915976,0.7330235443272236,-3.4367198877577914
2,1,21456,0.6463314963143983,0.6841675008742326,-3.4258761267734137
2,2,22456,0.7170489010713011,0.7855172549533318,-3.4590900118849017
4,0,40456,0.9966544882275258,1.0504198761918346,-3.640869258474214
4,1,41456,0.9971351223159772,1.0602751526482552,-3.641758995885451
4,2,42456,0.9971087908223011,1.0544170750902873,-3.6420403637574923
8,0,80456,0.999970147640204,1.0505744689293954,-3.6509854368043904
8,1,81456,0.9999690618097103,1.0505029237924124,-3.6509706013416006
8,2,82456,0.9998807014560025,1.052550359781551,-3.6506065944092
16,0,160456,0.9999999965693254,1.0511511873874466,-3.6510934068270933
16,1,161456,0.9999999947705378,1.051171026166331,-3.6510934045792416
16,2,162456,0.9999999958833048,1.051154099392881,-3.651093406093155
32,0,320456,0.9999999953103984,1.0511550808339938,-3.651093396832203
32,1,321456,0.9999999986423322,1.0511622221477248,-3.6510934079819286
32,2,322456,0.9999999984344741,1.0511980193286912,-3.6510934075516377
