chi,restart,seed,fidelity,entropy,energy
2,0,20042,0.9928046377708352,0.1549758515749432,-8.496100923983432
2,1,21042,0.9746276641769028,0.15478191540862415,-8.464186112794122
2,2,22042,0.9930604932771135,0.1714222292082432,-8.496837082386069
4,0,40042,0.9954211222995237,0.16990811631580066,-8.500146586811008
4,1,41042,0.9951790885648123,0.17527644140139156,-8.500145959099457
4,2,42042,0.9941347166865419,0.17259956974624802,-8.498020227734932
8,0,80042,0.998533738118323,0.1764607784003143,-8.50528805226319
8,1,81042,0.9965364563516965,0.17479434297176893,-8.501888032744564
8,2,82042,0.9986703558172436,0.1725770228729079,-8.505392985912053
16,0,160042,0.9993179023300166,0.17590815908591464,-8.506649559655594
16,1,161042,0.9990737147188772,0.17527952789576653,-8.506376599597978
16,2,162042,0.9993096003600698,0.17620020973863018,-8.506714975248858
